"","rep","our_beta0","our_beta1","cc_beta0","cc_beta1","naive_beta0","naive_beta1","gs_beta0","gs_beta1","q","n","b1","our_beta0_se","our_beta1_se","cc_beta0_se","cc_beta1_se","naive_beta0_se","naive_beta1_se","gs_beta0_se","gs_beta1_se"
"1",1,-2.46500686472321,0.228825731637374,-2.61274002129787,0.58313085336591,-2.44716632180514,0.238891908282343,-2.48979663508218,0.313963247727283,0.75,390,0.0953101798043249,0.220591974341977,0.312434965576969,0.301511316827267,0.382706971039179,0.235702243842926,0.324893125269118,0.242535606837003,0.326255365873031
"2",2,-2.45443226003738,-0.0191910230745319,-2.10842907855293,-0.315108624858773,-2.46243379393581,0.140980216637398,-2.29730803589306,-0.172783528109787,0.75,390,0.0953101798043249,0.230819598989921,0.327495668366756,0.242535556024972,0.360904499400662,0.258198823677363,0.338061638916793,0.229415673021606,0.333848875810515
"3",3,-1.76453559796135,-0.299248321304734,-1.67174179577025,-0.294371060602564,-1.87180217690159,2.48047114851225e-14,-1.72384826361184,-0.303324849522212,0.75,390,0.0953101798043249,0.167129721639659,0.255887340319274,0.188982229264668,0.28867511503764,0.182574178728925,0.258198869708693,0.174077649275529,0.259499627299426
"4",4,-2.09016706825657,0.0386484311475113,-2.04410217523452,-0.193944396621939,-2.09561440092543,0.00128424675185002,-2.04230199473037,-0.102654154060081,0.75,390,0.0953101798043249,0.19445734928125,0.270440181070594,0.235702244621651,0.343592107939796,0.20851440075198,0.288926029288569,0.204124133419705,0.288675116549238
"5",5,-2.39554150719398,0.347949653321024,-2.13696538581795,0.0723389299232541,-2.21636391754686,0.0735005494295343,-2.37024374146777,0.377813576777563,0.75,390,0.0953101798043249,0.203095069762209,0.290623252633815,0.229415688870336,0.33384889268547,0.208514379807732,0.301823276092556,0.223606749209678,0.302764994884138
"6",6,-2.36218912401406,0.00348034474620727,-2.66025953726584,0.433835805237377,-2.46009148066827,0.152257031788093,-2.60021749629898,0.408297971192463,0.75,390,0.0953101798043249,0.211308080427,0.306241971458545,0.31622773430189,0.408248250528092,0.242535607661419,0.33384890342824,0.258198866498001,0.33806167347752
"7",7,-2.08396590259871,-0.267444678201372,-2.39789527279834,-0.395312736644143,-2.2437445929711,-0.180537435000457,-2.2537949288246,-0.160015799279661,0.75,390,0.0953101798043249,0.186960334189667,0.304896173868838,0.277350063676335,0.433629034795846,0.21821787261291,0.326255362194936,0.21821787239223,0.326255362239605
"8",8,-1.94237605020845,-0.0465170743698727,-1.85238409104448,-0.0124005131984528,-1.85238409104448,-0.154486757800516,-1.92600899473801,0.00594007686659238,0.75,390,0.0953101798043249,0.171043808634356,0.255029618141244,0.204124131788918,0.295163005780345,0.176776682241291,0.266926939599683,0.18569532628302,0.264947231097527
"9",9,-2.19986327504737,-0.950946945384169,-2.04769284336525,-0.821625505333035,-2.16781069212992,-0.771351229935612,-2.17771176311263,-0.750811760747849,0.75,390,0.0953101798043249,0.190836254664261,0.385183405335489,0.223606783536352,0.418329959091166,0.208514399360626,0.378785186648975,0.208514399166744,0.378785187872233
"10",10,-2.71449619921462,0.544853036947375,-2.46688814428529,0.487917132969096,-2.41685318654296,0.131075211865315,-2.58399755243219,0.44673643986354,0.75,390,0.0953101798043249,0.242772028207719,0.328284888158113,0.267261207584487,0.360904523546333,0.22941570999168,0.328918095284857,0.249999965175343,0.331841865199981
"11",11,-2.6227265907789,0.4362319484294,-2.38381053291662,0.323297001122364,-2.50552593699072,0.373161993856593,-2.47968470580684,0.321874097011544,0.75,390,0.0953101798043249,0.251963013410646,0.323277674940727,0.277350080415046,0.356262613801867,0.249999980766882,0.325542989442382,0.249999981536161,0.325542989561656
"12",12,-2.01967513429543,-0.190800206248723,-2.04198397914493,0.151133607272664,-2.00372971994413,-0.094760016706364,-2.02044320091787,-0.0637945130254235,0.75,390,0.0953101798043249,0.185522547311093,0.271988522272251,0.242535608307009,0.317001859340585,0.204124134121917,0.283069233056208,0.204124133818141,0.283069233096151
"13",13,-2.33106651472397,0.290707493521568,-2.58776403522769,0.520901275754725,-2.41906008399041,0.3838517972874,-2.4585198946148,0.441150781577342,0.75,390,0.0953101798043249,0.224736585239151,0.300919791931926,0.316227738148423,0.387298303426139,0.242535608717831,0.311905523675736,0.249999982133786,0.315494887721116
"14",14,-2.2872432569208,-0.037568908724831,-2.29000631078718,-0.0202416549524288,-2.25878247033564,-0.0925927868278314,-2.27848754141497,-0.0514965257671815,0.75,390,0.0953101798043249,0.200611049972995,0.307577473132285,0.249999986124871,0.373393975829758,0.218217872282034,0.321208014506829,0.218217871841861,0.321208014536569
"15",15,-2.20439654243401,0.0434952665780104,-2.81090758654188,0.570197897265928,-2.23868129101456,-0.0795699187238783,-2.35387838738159,0.15137675294453,0.75,390,0.0953101798043249,0.193034921017168,0.288770588388947,0.353553342432037,0.437797471142814,0.218217879022742,0.31662377608103,0.229415719870343,0.316623775974301
"16",16,-1.947534924925,-0.272748134703002,-1.81080766419874,-0.42990202507721,-1.94097186741468,-0.204427642056947,-1.86698289046561,-0.398064283209362,0.75,390,0.0953101798043249,0.17026887450196,0.287471330789958,0.1961161240432,0.324234782069885,0.185695309232681,0.282731832813731,0.176776673674014,0.289623144231198
"17",17,-1.98465601993292,-0.663826014917722,-1.88706964903238,-0.551927299451538,-1.89711998488588,-0.741937344729362,-2.04230199473037,-0.390336226511862,0.75,390,0.0953101798043249,0.180788704190393,0.311093901784714,0.22360678690747,0.356262629817319,0.192450081505433,0.322030569474046,0.204124133419706,0.311804762260478
"18",18,-2.02656911249012,-0.636497328323272,-2.18480205733763,-0.859720380385674,-2.07480116212332,-0.692089539001794,-2.16561923792087,-0.416925881431033,0.75,390,0.0953101798043249,0.16920336357617,0.343531464240168,0.235702228659113,0.471404417078904,0.192450073552453,0.357695539816272,0.19999998014057,0.341940134441369
"19",19,-2.39115919897704,0.156016358831214,-2.43507427604009,0.125371715277185,-2.35137525716343,0.0438026226583506,-2.52305841575228,0.345346652639649,0.75,390,0.0953101798043249,0.223202315644979,0.307334469095189,0.288675095308926,0.393397857029989,0.235702223471363,0.324893109271838,0.258198833729727,0.331880843890266
