"","rep","our_beta0","our_beta1","our_beta2","cc_beta0","cc_beta1","cc_beta2","naive_beta0","naive_beta1","naive_beta2","gs_beta0","gs_beta1","gs_beta2","n","q","our_beta0_se","our_beta1_se","our_beta2_se","cc_beta0_se","cc_beta1_se","cc_beta2_se","naive_beta0_se","naive_beta1_se","naive_beta2_se","gs_beta0_se","gs_beta1_se","gs_beta2_se"
"17",17,-2.6165761382065,0.643536924820293,0.402405877935071,-2.06828307658241,-0.351394579666252,0.737355635516452,-2.33460833079605,0.190487443450231,0.535385133223699,-2.38510491078379,0.267254119253877,0.525795300375524,100,0.75,0.584520812494434,0.712648427624225,0.292673841585246,0.577431362411346,0.792405184923663,0.360661928474359,0.591625809843,0.788631204233626,0.343492507586719,0.581921672671203,0.743529149839444,0.323762991868896
"18",18,-19.434993458832,18.0644291330966,0.194735849907373,-19.822271317066,17.6771524622219,0.714374856845709,-3.0957650505998,1.33854781496778,0.421745119505485,-3.3626540191556,1.71581986157166,0.370144494708366,100,0.75,NA,NA,0.21789639285539,2876.59093406531,2876.59099345464,0.36768320816675,1.03082930382987,1.13665213019238,0.28672921295923,1.0154498529745,1.10398823450553,0.27848206691928
"19",19,-4.00296112619456,1.08053571846809,-0.562791358185969,-3.77079798888001,0.842584169744,-0.623709843619393,-3.98387312931613,1.06701800731785,-0.619918851984974,-3.95108353587892,1.0496162782751,-0.588459322284557,100,0.75,1.080637143705,1.14114518257831,0.399529708558684,1.16776620053314,1.21370486386858,0.480073525384118,1.11957292890696,1.16363764035032,0.428660883465687,1.09747565932685,1.14749127614377,0.428874238365353
"20",20,-2.03042559796735,-0.365251519408978,0.202833555388418,-1.66145340844766,-0.244366931622212,0.205115469321522,-1.86366037671606,-0.304293937943489,0.229237718557308,-1.88296993854283,-0.3065979303972,0.210549247973501,100,0.75,0.405712511376195,0.67711958297225,0.277686627538722,0.435627065075447,0.691244025303189,0.286316236164887,0.495369655310781,0.775578216089271,0.321819831084101,0.407413702920013,0.656532519776561,0.272715547760266
"21",21,-1.37899194468829,-0.40813689090392,0.4890388229316,-1.43267956958794,-0.421358670938392,0.40757250737408,-1.44001228624539,-0.360027465649922,0.452104573992335,-1.44581359140673,-0.34500658352598,0.441242791193486,100,0.75,0.453513203496964,0.640366587279998,0.244364600875066,0.618841168706046,0.810484300774272,0.319859426472366,0.486784666390444,0.670940893958343,0.269871598430662,0.473339573259427,0.635048387957,0.256139646055942
"22",22,-4.0838303878927,1.67100856607878,-0.536571374419624,-3.58688488573423,1.33025499788047,-0.342231789688722,-4.1207346943653,1.7914696027795,-0.644288558655843,-3.95248068718462,1.63701387474072,-0.492267284908871,100,0.75,1.07316865071185,1.12664178071554,0.395802811792249,1.08269914684389,1.16345729309,0.450371948126338,1.1673304930808,1.23128167287022,0.463382829562347,1.08178614994925,1.14534788534149,0.417307268806002
"23",23,-2.05267489374329,-0.572064357748176,0.681501347508658,-1.88079122574712,-0.729822355286109,0.294760896029966,-2.86975491220126,0.783002933954524,0.126662924402934,-2.02787764413018,-0.517505545979337,0.491557224398436,100,0.75,0.51005457180141,0.771653865582951,0.377613012529269,0.545050451877867,0.839991014756005,0.445562894303926,0.783244779393259,0.959360623262321,0.439182477449882,0.527660703878924,0.775770928064898,0.401728835418404
"24",24,-2.2818555292308,0.438466020100713,0.361467500777702,-2.26561049151698,-0.228896531711609,0.191165551355156,-2.19514790531834,0.122043826542031,0.340274071957513,-2.37976346211779,0.398840226734264,0.297149189335355,100,0.75,0.571322449224912,0.719744471645125,0.252844744841644,0.60602762289654,0.849681479536878,0.42479894811299,0.642552388775811,0.857449152355628,0.356583431404677,0.589905606942958,0.730717415574098,0.311742708132595
"25",25,-2.03751223846163,-0.13927285402459,-0.174100488252732,-2.47223555373344,0.0228937829356975,0.164967949855562,-2.02981541261217,-0.267216893712394,-0.0178464399400284,-1.88864767026627,-0.52288348709751,0.0432187343639621,100,0.75,0.508665821127414,0.669843717465697,0.330949241826399,0.747069795809399,0.993913658368587,0.489246630599156,0.600550317375742,0.773814353029087,0.39513293332287,0.506067560195657,0.703711843965579,0.371940491863884
"26",26,-2.00200037576667,-0.0487948924130513,0.501370851455777,-1.95076669450245,-0.440311996656244,0.37685765368276,-1.62596166441852,-0.677491201356162,0.555293805011303,-2.08846540220999,0.0220327622340274,0.402500467099211,100,0.75,0.515601089180987,0.7548052280623,0.301011592643913,0.514210630306774,0.792899446768069,0.380892705847716,0.517454191187326,0.702617018872063,0.306152995373421,0.508560048897634,0.676652920236345,0.315483864002507
"27",27,-3.03913656153471,1.21033850634983,0.169797632627951,-2.72820760839354,0.793116982852647,0.0185352756999482,-2.57939396961501,0.522550308753084,0.208230923293548,-2.92759637450876,1.06322184499187,0.118786149288362,100,0.75,0.719475055503537,0.843374867787727,0.260003929938969,0.744915062715219,0.905704024683524,0.347904493687375,0.734826389699526,0.8738929261619,0.291248485227149,0.722830155822937,0.847683287371101,0.290764050549798
"28",28,-1.50442187401406,-0.705484920213176,0.110683449367822,-1.2291151236892,-0.797402825983732,0.00530856933433677,-1.4304624877119,-0.691181458845904,0.0996113132145805,-1.47229206107814,-0.624573930136501,0.0486246111287513,100,0.75,0.406350411030367,0.593621208278025,0.310054952933265,0.427828739474845,0.634973992233324,0.352324894972697,0.437643995614007,0.652993949720636,0.35883989753801,0.411008527719331,0.599971936842877,0.327747992704342
"29",29,-2.11120528517796,0.116323961812819,0.493600365872244,-2.49561028078025,0.719924293507105,0.114788250433961,-1.93227713797482,-0.1013676378794,0.452347092613936,-2.28756985184376,0.419232985540373,0.325906298601101,100,0.75,0.654202324462243,0.829287521215045,0.306209510132267,0.780232829626891,0.91498493802011,0.363821874346439,0.546248418295344,0.738783257155333,0.337268310305141,0.617927209402469,0.762732025656677,0.321522810443327
"30",30,-2.38745173096416,-0.235821501089945,0.734403601087283,-3.16058333019076,0.702671615350337,0.475587382117205,-2.54091725849404,-0.0755275859541429,0.693296113613879,-2.30579032646236,-0.484559573168741,0.785925887123081,100,0.75,0.605500251520204,0.878675074650523,0.416116636638469,1.03453238347649,1.28450609693548,0.614147640486232,0.742165482313218,1.01134010263576,0.484640707355768,0.577752394673197,0.794499082522666,0.419652808934747
